...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
27,10232,10232,8.537,63.847,6,7020,0.025694444,0.01445773,0.027638889,0.025386868,0.002291667,0.000626138,57,59,65,56,9.118739609,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,z,xyz,z,z,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
28,10238,10238,8.74,63.185,6,325,0.011736111,0.000853782,0.070902778,0.029428505,0.032430556,0.023167122,8,3,3,5,9.719811827,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,z,xyz,z,xz,xz,xyz,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
29,10240,10240,8.887,63.652,6,1560,0.076944444,0.071322311,0.065902778,0.044967731,0.036111111,0.022711749,68,74,43,44,9.003067618,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,z,xyz,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
30,10256,10256,10.742,64.817,7,4680,0.011805556,0.009733191,0.022708333,0.008310456,0.001597222,0.001479964,51,47,32,15,8.324651507,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
31,10264,10264,11.728,64.977,7,325,0.001875,0.003130648,0.054236111,0.035120608,0.003819444,0.006318306,8,7,16,16,8.480007134,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,z,xyz,z,xz,xyz,z,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
32,10291,10291,5.146,59.727,3,2340,0.07625,0.031420001,0.042777778,0.020605363,0.024375,0.011668944,104,65,59,32,9.940430234,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
33,10292,10292,5.154,59.715,3,3120,0.043888889,0.016962045,0.043055556,0.018669855,0.005,0.002219945,95,63,61,32,9.792405625,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
34,10298,10298,5.244,59.867,3,2700,0.088958333,0.030794493,0.212569444,0.081910184,0.014583333,0.004895264,26,22,29,14,10.28058153,x,y,xy,xz,yz,xyz,xz,yz,yz,xz,xz,z,xyz,z,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,z,z
35,10300,10300,5.312,59.608,3,2340,0.066597222,0.019808391,0.050347222,0.013319125,0.020902778,0.02037796,98,63,87,62,10.28461693,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
36,10303,10303,5.364,59.743,3,2340,0.231319444,0.120218445,0.118958333,0.07644546,0.031041667,0.024533242,75,44,69,41,10.46020004,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,yz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,z,z,xyz,z
