"","s1","s2","s3","s4","s5","sp","w1","w2","w3","w4"
"10311",0.775666204890137,0.874040495156329,0.910538896035449,0.824887609734569,0.737289085495129,0.608331280786109,0.576869178181653,0.523390124066607,0.503878827342595,0.640854890026689
"10318",0.682929138868175,0.837964032184842,0.896383272838617,0.840512244562939,0.730508849683561,0.529898416487402,0.490744095667673,0.411239847815796,0.414004869348209,0.629722425340339
"10319",0.664842100358696,0.841493932540611,0.886350383754968,0.858693770423928,0.747686768904636,0.531556284532435,0.498243543373836,0.387283184239434,0.383040933712169,0.593874702492915
"10324",0.847846553760124,0.922290552335229,0.924467667858526,0.878114154059376,0.768953494863324,0.600571268424402,0.493659425630834,0.448263524284279,0.442232315915726,0.613297978241243
"10328",0.832620637343641,0.854111598740767,0.889268759367955,0.821889311984567,0.740307527473281,0.601303440934279,0.478651119701997,0.403730838610243,0.396774337185142,0.628974524536389
"10331",0.799917003296644,0.880704868563811,0.925298691591017,0.870542036940294,0.753221940287914,0.606991749664524,0.4760070006273,0.408787250247461,0.439658008191531,0.628597582516152
"10332",0.797404226298663,0.878088876416001,0.925794017018402,0.866898199453226,0.738797341583114,0.612690806021178,0.448648093820614,0.406086646626345,0.450358992607478,0.608015996323944
"10338",0.853377100348414,0.914689213009814,0.921312581771688,0.828517264066078,0.694653643768186,0.660815867850477,0.371554212199759,0.329175926096848,0.416176366615337,0.592732275515634
"10375",0.676509249667402,0.774214728140275,0.849811869547508,0.797785634365371,0.685540296451405,0.534198545706375,0.489535259414699,0.457707160628164,0.458051846210838,0.577481805761932
"10398",0.709825190604931,0.85429968930941,0.864046738729748,0.780647039409561,0.652307558408144,0.499520628628492,0.42557001400087,0.3684543072101,0.383630479802166,0.519042542584809
"10409",0.643271845028806,0.769467464509243,0.833904286289421,0.796431425140104,0.693108140730806,0.48904013270866,0.478308867550015,0.415020219607061,0.398847931073829,0.58028568801483
"10410",0.730523028727795,0.828545616843355,0.846856463023644,0.758085473896859,0.615117165386522,0.540529494840057,0.401488360829432,0.344214921249447,0.369712781577135,0.506899172409117
"10421",0.569965228491588,0.631649271012006,0.732995157196067,0.712732779338859,0.616082143287686,0.47260482017504,0.465993907042487,0.414331332121045,0.390302201662007,0.528851130307613
"10425",0.708009119417274,0.791686606790909,0.821624657571402,0.780029461346186,0.673954648733025,0.51954523681591,0.486340607529159,0.420118637266153,0.402585203387912,0.557710028107431
"10582",0.754089777596925,0.872365761725666,0.918933783090725,0.870414839959825,0.748990930998972,0.57464372445106,0.464331903007741,0.351343743192003,0.387876633565831,0.611477625502426
"10858",0.726745225152824,0.809238424573494,0.860085265795982,0.804911599110657,0.696777031050698,0.520108629428019,0.453697597892788,0.436283999335099,0.444579115536569,0.559879634055882
"10875",0.690561484796679,0.797180756974909,0.817076657174089,0.77376698719399,0.6617623781236,0.435158099738477,0.413305158698273,0.390813896119808,0.371346119056385,0.530904991111298
"10876",0.642058108695302,0.784233042560084,0.833644069303429,0.79961321291201,0.695269364796931,0.476442611870622,0.477495659461371,0.443682139511352,0.42782392947308,0.566532676236428
"10877",0.598888327860027,0.733060553758476,0.834588405290762,0.79497285360433,0.676083007573942,0.464250656602912,0.449998137207572,0.411625036961573,0.418498156927475,0.556926981528204
