farmID,s1,s2,s3,s4,s5,sp,w1,w2,w3,w4
14799,13.31025641,15.5475,16.07708333,14.0125,11.41714286,8.646938776,5.152,4.492,5.073529412,8.921428571
15118,9.95,12.55625,12.68974359,11.13703704,8.6125,6.643333333,5.215,4.678947368,4.51875,6.53
15196,11.79851852,14.20428571,15.44318182,13.45295455,10.916,7.685,6.280697674,5.268378378,5.38,8.382666667
15338,13.091,14.85083333,16.3725,14.02595238,11.0675,8.2576,6.338484848,5.236176471,5.695555556,8.52862069
15375,9.614473684,11.938,13.09234043,12.42307692,10.25263158,7.064102564,6.882820513,6.295,6.053513514,8.443589744
15403,10.86318182,13.24404762,15.02914286,13.3008,11.07363636,7.5475,7.064166667,5.8792,5.526785714,8.790526316
15456,11.18,14.51619048,15.23675676,13.488,10.98176471,7.591891892,7.382758621,5.74,5.763636364,9.332142857
15796,11.43076923,13.89130435,16.35384615,14.19761905,10.78,7.747222222,5.736363636,4.669230769,5.545714286,8.120454545
16755,11.94027027,14.43756757,16.20073171,14.24,11.52972973,8.125957447,6.97,5.838,6.32516129,9.287142857
16797,12.12704545,14.01682927,15.69854167,14.39425,11.59914286,8.484736842,7.516,6.166666667,5.889285714,9.2775
17177,9.782439024,12.30384615,14.40708333,13.37966667,10.88068966,7.7984,7.463478261,6.411363636,6.667575758,8.955909091
17357,11.63513514,13.47096774,16.05319149,13.98,11.09545455,8.030769231,6.861538462,5.116216216,5.358974359,8.786363636
17495,10.2902439,12.7,14.9787234,13.22941176,10.23333333,8.157142857,6.9,5.885,5.8125,8.2375
17575,12.10882353,13.790625,14.06888889,12.8125,10.63953488,8.3475,5.839473684,4.578787879,5.36,8.013636364
18217,11.275,13.58235294,15.9525,14.04,11.17647059,7.911627907,6.88,6.148387097,5.89,8.685714286
18235,10.634,15.45,16.7,14.28058824,11.52565217,7.991111111,6.796875,5.52,5.89,9.482
18275,13.6962963,16.00769231,16.77021277,14.26666667,11.18409091,8.244444444,6.365714286,4.770588235,5.476470588,8.55
18639,11.7047619,14.3736,16.47261905,14.56025,11.2704878,8.145,6.794,5.458275862,5.421071429,9.424285714
18657,10.62866667,13.30113636,15.14577778,13.33285714,10.40515152,7.619069767,6.658333333,5.503,5.318636364,8.641785714
18898,10.1074359,12.54810811,14.33921053,11.58181818,11.2,7.825106383,7.762,6.778571429,6.517777778,9.15
18936,9.597560976,12.065,12.91276596,11.59375,9.02,6.498076923,5.491666667,5.474285714,5.28,6.824242424
19015,11.41428571,13.46410256,14.71458333,13.315,10.97272727,7.759574468,6.607692308,6.185294118,5.576315789,8.838095238
19016,10.00285714,12.09142857,13.80512821,12.775,10.29166667,7.245,6.545,5.815,5.575,7.895454545
19115,10.592,12.64,14.38,12.78235294,9.65,7.83125,5.9,5.42,5.061111111,6.916666667
19135,10.16538462,12.69615385,13.83333333,11.63111111,9.108888889,6.582926829,5.48,4.9525,5.117948718,6.923809524
19195,9.715,12.57807692,14.129,12.75384615,10.12244444,6.735277778,6.315,5.515945946,5.4496875,7.9665
19336,11.05,12.9275,15.83333333,14.2975,11.55,7.35,6.982222222,5.5375,5.396296296,8.928205128
19355,9.622272727,11.41444444,13.81457143,14.39785714,11.77470588,8.08125,8.034137931,6.793928571,6.841724138,10.22470588
19655,13.21269231,15.5884,15.932,13.50921053,11.5872093,8.570857143,7.823953488,6.996666667,6.460322581,9.615238095
19855,10.67555556,13.71777778,14.99056604,13.12333333,10.13793103,7.616666667,6.08,5.695,5.808333333,7.92
19939,12.27866667,14.50177778,16.11648148,13.82368421,10.56117647,8.442291667,6.298947368,5.1565,5.905238095,8.798928571
19977,10.42181818,12.7204,14.05833333,11.91923077,9.156521739,7.104444444,5.44,4.528421053,5.13125,6.8125
19995,10.70952381,14.05,15.23478261,13.64666667,10.83333333,7.669230769,7.19,6.18,5.8,8.733333333
20115,11.004,13.3,14.98214286,12.22105263,10.24102564,8.003142857,6.412,5.50375,6.251212121,8.392105263
20315,12.05384615,14.68571429,15.1525,12.95263158,10.49756098,8.151428571,7.06744186,6.108571429,6.139310345,8.595555556
20455,12.93555556,15.1245,16.09916667,13.40666667,10.34444444,8.835471698,5.595,5.02,5.915666667,8.004166667
20559,9.317027027,11.50594595,13.23390244,12.44793103,10.18571429,7.151428571,6.728148148,6.053448276,6.046666667,8.204285714
20595,11.765,14.24,16.134375,13.92682927,11.15777778,6.821875,7.358139535,5.056756757,5.006060606,8.7625
20776,10.80666667,12.38823529,13.908,12.45238095,10.775,8.052083333,7.216,6.116,6.035714286,8.27
20796,10.85,13.26,15,13.22727273,10.65454545,7.717241379,6.593333333,5.86,5.386956522,7.942857143
20815,11.25147059,14.06470588,15.08382353,13.31766667,10.68870968,8.040606061,7.083333333,6.019354839,6.00969697,8.738823529
21335,11.25,14.352,14.64848485,13.58,10.57777778,8.691304348,7.486666667,6.186666667,6.623076923,8.833333333
21415,12.08787879,15.12333333,15.80444444,13.72666667,10.66136364,8.367567568,6.118421053,4.948648649,5.341025641,8.181395349
21676,10.04347826,12.35263158,13.98837209,12.41333333,9.642222222,6.674358974,5.59925,4.77,4.9,7.446666667
21755,12.13487179,14.22057143,15.86162162,14.716,11.68809524,8.295897436,7.113636364,5.963043478,5.710769231,9.022
21915,12.48,15.175,15.97,10.71333333,10.50666667,8.027058824,6.337058824,5.2875,5.3725,8.34
22015,10.96724138,13.53,15.1465625,13.62192308,11.2448,7.641935484,6.8772,5.358235294,5.694705882,8.423043478
22095,13.97355556,16.02976744,16.5530303,13.36,10.52166667,8.969622642,5.9376,5.549166667,7.223103448,8.167037037
22315,12.72321429,15.47538462,16.44589744,14.34914286,11.64,8.448235294,6.697,5.636,5.741304348,9.1175
22335,9.962285714,12.63314286,14.84170732,12.45628571,9.937407407,7.241142857,5.982352941,5.228,5.137058824,7.833478261
22455,10.12404762,13.06232558,14.90148148,13.39119048,10.63060606,7.498085106,7.551111111,6.3328,5.757777778,8.670384615
22596,10.67206897,13.04666667,15.57870968,13.8846875,11.03921053,7.383823529,6.834333333,5.681666667,5.1221875,8.760571429
22775,9.804347826,12.45833333,13.29166667,11.74,8.613333333,7.3,5.445,4.3,5.6,6.486666667
22915,11.42105263,13.33333333,15.47826087,14.39705882,11.5,7.066666667,6.766666667,5.303125,4.883333333,8.948571429
22955,11.84,13.70942857,15.43051282,14.55242424,12.27518519,8.110444444,7.6424,5.985,6.34,10.6344
23375,11.57651163,14.08769231,15.43609756,13.43433333,10.94133333,7.750943396,7.504166667,6.003846154,5.783333333,9.2136
23436,11.05545455,14.4115,14.76935484,14.18433333,11.70114286,7.877,7.412068966,6.094482759,5.7536,9.279142857
23695,11.545,14.25833333,15.31627907,13.32820513,10.84571429,7.919148936,7.054285714,6.072727273,5.754285714,8.915789474
23816,9.138636364,11.8475,12.57083333,11.18,9,6.506666667,5.56875,4.696428571,4.953846154,6.846666667
24035,13.3796875,15.25111111,16.42233333,14.33965517,12.86821429,9.852307692,9.242,8.374210526,8.8088,11.53884615
24115,9.696666667,12.80645161,14.37234043,12.790625,10.09666667,7.159459459,6.588,5.923076923,6.028125,8.086666667
24135,12.32560976,14.221,16.2255,14.16541667,11.6245,8.196666667,7.257272727,5.885217391,5.656521739,8.854
24196,9.611111111,12.6,13.995,12.17391304,10.12916667,6.6825,6.365172414,5.863928571,5.575833333,8.166666667
24315,10.12857143,13.16518519,13.69489362,12.04318182,9.313333333,6.969444444,5.69,5.1025,5.3875,7.244444444
24455,10.545,13.645,15.07291667,13.4892,10.94880952,7.43,7.003488372,5.999333333,5.711025641,8.628222222
24495,10.476,15.37571429,15.21625,12.87,11.038125,8.396666667,9.211428571,6.8945,7.119230769,8.598571429
24575,9.6752,12.91892857,12.9452,12.23111111,9.44,7.206129032,5.756666667,5.14075,5.423333333,7.237777778
24695,9.072,11.53837838,13.48651163,12.1825,9.869047619,6.687948718,6.32775,5.339,5.171428571,7.973684211
24696,9.561538462,11.58361111,13.47125,12.524,9.804347826,7.017777778,6.733333333,6.184615385,6.317948718,8.235
24715,10.18628571,12.09076923,12.35787879,10.65628571,8.41974359,8.037619048,7.353157895,6.294871795,6.632051282,7.9075
24735,12.12258065,14.2974359,16.09795918,14.11578947,10.86857143,8.029411765,5.56969697,4.38,4.8125,8.458823529
24937,12.245,15.19210526,15.95833333,13.612,10.56,8.709615385,5.138461538,4.507692308,5.824390244,7.98
24975,12.14482759,15.09583333,16.14358974,13.82682927,11.04444444,8.105263158,6.78,5.626190476,5.671052632,8.704545455
25055,11.71033333,15.3304,15.71837838,13.24883721,10.60555556,7.829565217,6.879772727,5.830666667,5.395853659,8.59
25235,9.845714286,11.68846154,13.13181818,11.575,8.728571429,6.740540541,5.864074074,4.932,5.192,7.096296296
25815,12.32555556,14.26341463,16.09871795,14.36451613,11.48653846,8.524680851,7.307272727,5.893,5.923461538,9.3384
25835,10.19047619,12.83684211,14.56969697,11.87777778,11.23255814,7.740540541,6.966666667,5.946666667,5.804878049,8.70952381
25895,13.19333333,15.26888889,16.276,13.77666667,10.864,8.430769231,6.11,5.015,5.832432432,8.420833333
25896,12.63333333,14.7,16.17254902,13.8675,10.9775,8.211764706,6.256666667,5.079166667,5.7,8.173684211
26135,10.26818182,12.33111111,14.36538462,12.8,10.07714286,7.731818182,6.435483871,6.011538462,5.837931034,7.945454545
